Neuron,GPCR,Total_GPCR_num,GPCR_proportion,NHR,Total_NHR_num,NHR_proportion,insulin,Total_insulin_num,insulin_proportion,Hyperdiv_NHR,Total_Hyperdiv_NHR_num,Hyperdiv_NHR_proportion,Hyperdiv_GPCR,Total_Hyperdiv_GPCR_num,Hyperdiv_GPCR_proportion,Hyper_insulin,Total_Hyperdiv_insulin_num,Hyperdiv_insulin_proportion,Nonhyper_NHR,Total_Nonhyper_NHR_num,Nonhyper_NHR_proportion,Nonhyper_GPCR,Total_Nonhyper_GPCR_num,Nonhyper_GPCR_proportion,Nonhyper_insulin,Total_Nonhyper_insulin_num,Nonhyper_insulin_proportion
I4,58,1596,0.036340852,58,267,0.217228464,4,40,0.1,20,146,0.136986301,12,832,0.014423077,1,7,0.142857143,38,121,0.314049587,46,764,0.060209424,3,33,0.090909091
I5,85,1596,0.053258145,68,267,0.254681648,8,40,0.2,25,146,0.171232877,14,832,0.016826923,2,7,0.285714286,43,121,0.355371901,71,764,0.092931937,6,33,0.181818182
I6,52,1596,0.032581454,38,267,0.142322097,2,40,0.05,8,146,0.054794521,11,832,0.013221154,0,7,0,30,121,0.247933884,41,764,0.053664921,2,33,0.060606061
IL1,43,1596,0.026942356,28,267,0.104868914,0,40,0,8,146,0.054794521,10,832,0.012019231,0,7,0,20,121,0.165289256,33,764,0.043193717,0,33,0
IL2_DV,64,1596,0.040100251,75,267,0.280898876,4,40,0.1,29,146,0.198630137,11,832,0.013221154,0,7,0,46,121,0.380165289,53,764,0.069371728,4,33,0.121212121
IL2_LR,92,1596,0.05764411,80,267,0.299625468,6,40,0.15,34,146,0.232876712,21,832,0.025240385,1,7,0.142857143,46,121,0.380165289,71,764,0.092931937,5,33,0.151515152
LUA,45,1596,0.028195489,26,267,0.097378277,3,40,0.075,9,146,0.061643836,5,832,0.006009615,1,7,0.142857143,17,121,0.140495868,40,764,0.052356021,2,33,0.060606061
M1,72,1596,0.045112782,45,267,0.168539326,4,40,0.1,14,146,0.095890411,11,832,0.013221154,0,7,0,31,121,0.256198347,61,764,0.079842932,4,33,0.121212121
M2,57,1596,0.035714286,56,267,0.209737828,4,40,0.1,14,146,0.095890411,10,832,0.012019231,1,7,0.142857143,42,121,0.347107438,47,764,0.061518325,3,33,0.090909091
M3,51,1596,0.031954887,44,267,0.164794007,2,40,0.05,15,146,0.102739726,7,832,0.008413462,1,7,0.142857143,29,121,0.239669421,44,764,0.057591623,1,33,0.03030303
M4,34,1596,0.021303258,13,267,0.048689139,6,40,0.15,5,146,0.034246575,8,832,0.009615385,1,7,0.142857143,8,121,0.066115702,26,764,0.034031414,5,33,0.151515152
M5,52,1596,0.032581454,48,267,0.179775281,5,40,0.125,16,146,0.109589041,7,832,0.008413462,1,7,0.142857143,32,121,0.26446281,45,764,0.058900524,4,33,0.121212121
MC,51,1596,0.031954887,73,267,0.27340824,2,40,0.05,26,146,0.178082192,9,832,0.010817308,0,7,0,47,121,0.388429752,42,764,0.054973822,2,33,0.060606061
MI,56,1596,0.035087719,63,267,0.235955056,3,40,0.075,23,146,0.157534247,10,832,0.012019231,1,7,0.142857143,40,121,0.330578512,46,764,0.060209424,2,33,0.060606061
NSM,77,1596,0.048245614,82,267,0.307116105,4,40,0.1,32,146,0.219178082,16,832,0.019230769,0,7,0,50,121,0.41322314,61,764,0.079842932,4,33,0.121212121
OLL,47,1596,0.029448622,20,267,0.074906367,0,40,0,10,146,0.068493151,10,832,0.012019231,0,7,0,10,121,0.082644628,37,764,0.048429319,0,33,0
OLQ,61,1596,0.038220551,33,267,0.123595506,0,40,0,15,146,0.102739726,17,832,0.020432692,0,7,0,18,121,0.148760331,44,764,0.057591623,0,33,0
PDA,37,1596,0.023182957,12,267,0.04494382,1,40,0.025,3,146,0.020547945,3,832,0.003605769,0,7,0,9,121,0.074380165,34,764,0.044502618,1,33,0.03030303
PDB,46,1596,0.028822055,35,267,0.131086142,1,40,0.025,10,146,0.068493151,7,832,0.008413462,0,7,0,25,121,0.20661157,39,764,0.05104712,1,33,0.03030303
PDE,63,1596,0.039473684,71,267,0.265917603,1,40,0.025,29,146,0.198630137,13,832,0.015625,0,7,0,42,121,0.347107438,50,764,0.065445026,1,33,0.03030303
PHA,210,1596,0.131578947,93,267,0.348314607,5,40,0.125,44,146,0.301369863,82,832,0.098557692,1,7,0.142857143,49,121,0.404958678,128,764,0.167539267,4,33,0.121212121
PHB,223,1596,0.139724311,112,267,0.419475655,5,40,0.125,57,146,0.390410959,90,832,0.108173077,0,7,0,55,121,0.454545455,133,764,0.17408377,5,33,0.151515152
PHC,32,1596,0.020050125,28,267,0.104868914,2,40,0.05,13,146,0.089041096,4,832,0.004807692,0,7,0,15,121,0.123966942,28,764,0.036649215,2,33,0.060606061
PLM,67,1596,0.04197995,41,267,0.153558052,2,40,0.05,9,146,0.061643836,13,832,0.015625,1,7,0.142857143,32,121,0.26446281,54,764,0.070680628,1,33,0.03030303
PLN,40,1596,0.025062657,44,267,0.164794007,2,40,0.05,12,146,0.082191781,7,832,0.008413462,0,7,0,32,121,0.26446281,33,764,0.043193717,2,33,0.060606061
PQR,100,1596,0.062656642,51,267,0.191011236,3,40,0.075,17,146,0.116438356,20,832,0.024038462,1,7,0.142857143,34,121,0.280991736,80,764,0.104712042,2,33,0.060606061
PVC,58,1596,0.036340852,35,267,0.131086142,2,40,0.05,9,146,0.061643836,9,832,0.010817308,0,7,0,26,121,0.214876033,49,764,0.064136126,2,33,0.060606061
PVD,64,1596,0.040100251,43,267,0.161048689,0,40,0,13,146,0.089041096,10,832,0.012019231,0,7,0,30,121,0.247933884,54,764,0.070680628,0,33,0
PVM,91,1596,0.057017544,39,267,0.146067416,3,40,0.075,8,146,0.054794521,17,832,0.020432692,1,7,0.142857143,31,121,0.256198347,74,764,0.096858639,2,33,0.060606061
PVN,38,1596,0.023809524,13,267,0.048689139,1,40,0.025,3,146,0.020547945,5,832,0.006009615,0,7,0,10,121,0.082644628,33,764,0.043193717,1,33,0.03030303
PVP,49,1596,0.030701754,34,267,0.127340824,0,40,0,9,146,0.061643836,8,832,0.009615385,0,7,0,25,121,0.20661157,41,764,0.053664921,0,33,0
PVQ,104,1596,0.065162907,45,267,0.168539326,1,40,0.025,11,146,0.075342466,16,832,0.019230769,0,7,0,34,121,0.280991736,88,764,0.115183246,1,33,0.03030303
PVR,65,1596,0.040726817,32,267,0.119850187,2,40,0.05,6,146,0.04109589,12,832,0.014423077,0,7,0,26,121,0.214876033,53,764,0.069371728,2,33,0.060606061
PVT,99,1596,0.062030075,45,267,0.168539326,2,40,0.05,12,146,0.082191781,21,832,0.025240385,1,7,0.142857143,33,121,0.272727273,78,764,0.102094241,1,33,0.03030303
PVW,89,1596,0.055764411,48,267,0.179775281,2,40,0.05,12,146,0.082191781,8,832,0.009615385,0,7,0,36,121,0.297520661,81,764,0.106020942,2,33,0.060606061
RIA,48,1596,0.030075188,36,267,0.134831461,1,40,0.025,6,146,0.04109589,4,832,0.004807692,0,7,0,30,121,0.247933884,44,764,0.057591623,1,33,0.03030303
RIB,65,1596,0.040726817,32,267,0.119850187,3,40,0.075,7,146,0.047945205,8,832,0.009615385,3,7,0.428571429,25,121,0.20661157,57,764,0.07460733,0,33,0
RIC,80,1596,0.050125313,39,267,0.146067416,4,40,0.1,9,146,0.061643836,8,832,0.009615385,1,7,0.142857143,30,121,0.247933884,72,764,0.094240838,3,33,0.090909091
RID,68,1596,0.042606516,33,267,0.123595506,2,40,0.05,7,146,0.047945205,11,832,0.013221154,0,7,0,26,121,0.214876033,57,764,0.07460733,2,33,0.060606061
RIF,74,1596,0.046365915,24,267,0.08988764,1,40,0.025,7,146,0.047945205,12,832,0.014423077,0,7,0,17,121,0.140495868,62,764,0.081151832,1,33,0.03030303
RIG,85,1596,0.053258145,43,267,0.161048689,3,40,0.075,7,146,0.047945205,12,832,0.014423077,1,7,0.142857143,36,121,0.297520661,73,764,0.095549738,2,33,0.060606061
RIH,78,1596,0.04887218,41,267,0.153558052,5,40,0.125,11,146,0.075342466,12,832,0.014423077,2,7,0.285714286,30,121,0.247933884,66,764,0.086387435,3,33,0.090909091
RIM,66,1596,0.041353383,32,267,0.119850187,2,40,0.05,7,146,0.047945205,10,832,0.012019231,1,7,0.142857143,25,121,0.20661157,56,764,0.073298429,1,33,0.03030303
RIP,86,1596,0.053884712,39,267,0.146067416,3,40,0.075,8,146,0.054794521,12,832,0.014423077,2,7,0.285714286,31,121,0.256198347,74,764,0.096858639,1,33,0.03030303
RIR,73,1596,0.045739348,45,267,0.168539326,9,40,0.225,11,146,0.075342466,16,832,0.019230769,2,7,0.285714286,34,121,0.280991736,57,764,0.07460733,7,33,0.212121212
RIS,87,1596,0.054511278,44,267,0.164794007,4,40,0.1,17,146,0.116438356,14,832,0.016826923,2,7,0.285714286,27,121,0.223140496,73,764,0.095549738,2,33,0.060606061
RIV,45,1596,0.028195489,18,267,0.06741573,0,40,0,4,146,0.02739726,5,832,0.006009615,0,7,0,14,121,0.115702479,40,764,0.052356021,0,33,0
RMD_DV,49,1596,0.030701754,37,267,0.138576779,0,40,0,8,146,0.054794521,7,832,0.008413462,0,7,0,29,121,0.239669421,42,764,0.054973822,0,33,0
RMD_LR,66,1596,0.041353383,33,267,0.123595506,1,40,0.025,10,146,0.068493151,6,832,0.007211538,0,7,0,23,121,0.190082645,60,764,0.078534031,1,33,0.03030303
RME_DV,44,1596,0.027568922,26,267,0.097378277,1,40,0.025,8,146,0.054794521,11,832,0.013221154,0,7,0,18,121,0.148760331,33,764,0.043193717,1,33,0.03030303
RME_LR,35,1596,0.021929825,26,267,0.097378277,1,40,0.025,6,146,0.04109589,8,832,0.009615385,0,7,0,20,121,0.165289256,27,764,0.035340314,1,33,0.03030303
