WBGene00016689,srbc-21
WBGene00016690,srbc-22
WBGene00006281,str-255
WBGene00016696,srbc-19
WBGene00044087,C45H4.18
WBGene00016687,srbc-17
WBGene00016685,srbc-16
WBGene00006279,str-253
WBGene00006200,str-154
WBGene00005607,srj-19
WBGene00005608,srj-20
WBGene00016232,srt-4
WBGene00005477,srh-271
WBGene00206511,W02H5.16
WBGene00194896,W02H5.11
WBGene00016049,srt-28
WBGene00016050,srt-29
WBGene00016051,srt-27
WBGene00005217,srg-60
WBGene00005216,srg-59
WBGene00006081,str-13
WBGene00006099,str-33
WBGene00005214,srg-57
WBGene00005213,srg-56
WBGene00005218,srg-61
WBGene00005219,srg-62
WBGene00005915,srx-24
WBGene00005917,srx-26
WBGene00005919,srx-28
WBGene00005215,srg-58
WBGene00005279,srh-56
WBGene00005606,srj-18
WBGene00018826,srt-34
WBGene00005259,srh-36
WBGene00005749,srw-2
WBGene00005629,srj-50
WBGene00005627,srj-45
WBGene00005626,srj-44
WBGene00005628,srj-49
WBGene00005635,srj-57
WBGene00005634,srj-55
WBGene00005633,srj-54
WBGene00005476,srh-270
WBGene00005478,srh-272
WBGene00005447,srh-240
WBGene00005448,srh-241
WBGene00005449,srh-243
WBGene00006104,str-39
WBGene00018139,sre-24
WBGene00005751,srw-4
WBGene00005344,srh-127
WBGene00006111,str-46
WBGene00005362,srh-146
WBGene00005261,srh-38
WBGene00044602,C31B8.16
WBGene00016279,C31B8.1
WBGene00005453,srh-247
WBGene00005888,srw-141
WBGene00005890,srw-143
WBGene00005884,srw-137
WBGene00005308,srh-87
WBGene00005869,srw-122
WBGene00005454,srh-248
WBGene00005889,srw-142
WBGene00005891,srw-144
WBGene00005885,srw-138
WBGene00005309,srh-88
WBGene00005876,srw-129
WBGene00005870,srw-123
WBGene00005871,srw-124
WBGene00005865,srw-118
WBGene00005864,srw-117
WBGene00005886,srw-139
WBGene00005306,srh-85
WBGene00005868,srw-121
WBGene00005862,srw-115
WBGene00005867,srw-120
WBGene00005866,srw-119
WBGene00005859,srw-112
WBGene00005883,srw-136
WBGene00005882,srw-135
WBGene00005755,srw-8
WBGene00006271,str-244
WBGene00016856,srt-15
WBGene00016857,srt-16
WBGene00005400,srh-185
WBGene00006105,str-40
WBGene00016859,srt-5
WBGene00016852,srt-7
WBGene00016850,srt-8
WBGene00006128,str-66
WBGene00006131,str-69
WBGene00006130,str-68
WBGene00022266,srt-56
WBGene00016475,srab-9
WBGene00016476,srab-10
WBGene00016477,srab-11
WBGene00016479,srab-6
WBGene00016480,srab-7
WBGene00016472,srbc-6
WBGene00016471,srab-8
WBGene00005599,srj-11
WBGene00005595,srj-7
WBGene00005596,srj-8
WBGene00020874,srbc-5
WBGene00006127,str-64
WBGene00006013,srx-122
WBGene00018058,srbc-1
WBGene00018053,srbc-3
WBGene00006126,str-63
WBGene00006012,srx-121
WBGene00015438,srbc-2
WBGene00020623,srab-21
WBGene00020608,srab-22
WBGene00020607,srab-20
WBGene00005597,srj-9
WBGene00015315,srbc-29
WBGene00044089,srbc-31
WBGene00015316,srbc-30
WBGene00044090,srbc-33
WBGene00015317,srbc-32
WBGene00015318,srbc-36
WBGene00006256,str-225
WBGene00006259,str-228
WBGene00006257,str-226
WBGene00006258,str-227
WBGene00006286,str-260
WBGene00020746,srbc-66
WBGene00020749,srbc-67
WBGene00020752,srbc-68
WBGene00005877,srw-130
WBGene00005533,sri-21
WBGene00005423,srh-213
WBGene00005422,srh-212
WBGene00005984,srx-93
WBGene00019098,F59B1.4
WBGene00019099,F59B1.6
WBGene00005932,srx-41
WBGene00006165,str-114
WBGene00006164,str-113
WBGene00006096,str-30
WBGene00019966,srt-30
WBGene00005754,srw-7
WBGene00005753,srw-6
WBGene00015898,sre-9
WBGene00006260,str-229
WBGene00005404,srh-190
WBGene00005959,srx-68
WBGene00005958,srx-67
WBGene00005957,srx-66
WBGene00005956,srx-65
WBGene00005955,srx-64
WBGene00005954,srx-63
WBGene00006274,str-247
WBGene00006141,str-82
WBGene00006142,str-83
WBGene00005953,srx-62
WBGene00005234,srh-8
WBGene00005233,srh-7
WBGene00005230,srh-4
WBGene00005836,srw-89
WBGene00005385,srh-169
WBGene00005421,srh-211
WBGene00018190,F38H12.5
WBGene00005624,srj-40
WBGene00005623,srj-39
WBGene00005881,srw-134
WBGene00005880,srw-133
WBGene00005415,srh-204
WBGene00017107,srt-12
WBGene00022528,srt-13
WBGene00022529,srt-14
WBGene00018554,srt-3
WBGene00018555,srt-35
WBGene00018556,srt-36
WBGene00018557,srt-38
WBGene00018558,srt-20
WBGene00018559,srt-37
WBGene00018552,srt-19
WBGene00005406,srh-193
WBGene00005407,srh-194
WBGene00206392,F47D2.11
WBGene00269432,ZC132.11
WBGene00022522,ZC132.3
WBGene00005405,srh-192
WBGene00019224,gnrr-5
WBGene00005110,srd-32
WBGene00005248,srh-23
WBGene00005247,srh-22
