WBGene00005067,srb-2
WBGene00005066,srb-1
WBGene00016909,frpr-4
WBGene00005226,srg-69
WBGene00006005,srx-114
WBGene00015005,B0034.5
WBGene00020023,frpr-16
WBGene00016246,daf-37
WBGene00016248,C30B5.7
WBGene00005053,sra-27
WBGene00005054,sra-28
WBGene00005055,sra-29
WBGene00005057,sra-31
WBGene00005052,sra-26
WBGene00005986,srx-95
WBGene00020319,npr-31
WBGene00005134,srd-56
WBGene00005135,srd-58
WBGene00005136,srd-59
WBGene00015568,sre-3
WBGene00005133,srd-55
WBGene00005132,srd-54
WBGene00005641,sro-1
WBGene00019999,srab-14
WBGene00005149,sre-1
WBGene00005262,srh-39
WBGene00005809,srw-62
WBGene00005150,sre-2
WBGene00005039,sra-13
WBGene00011922,T22C8.1
WBGene00005172,srg-15
WBGene00011578,npr-20
WBGene00002251,lat-1
WBGene00005271,srh-48
WBGene00005027,sra-1
WBGene00005028,sra-2
WBGene00005035,sra-9
WBGene00005034,sra-8
WBGene00005029,sra-3
WBGene00005030,sra-4
WBGene00005033,sra-7
WBGene00005032,sra-6
WBGene00044027,F27E5.8
WBGene00009194,F27E5.5
WBGene00005079,srd-1
WBGene00005080,srd-2
WBGene00005071,srb-6
WBGene00005352,srh-135
WBGene00005713,srv-2
WBGene00005036,sra-10
WBGene00005038,sra-12
WBGene00005037,sra-11
WBGene00007146,B0334.6
WBGene00005267,srh-44
WBGene00016834,sre-50
WBGene00016833,sre-51
WBGene00016832,sre-49
WBGene00016827,sre-53
WBGene00016831,sre-56
WBGene00016830,sre-55
WBGene00016829,sre-54
WBGene00016828,sre-52
WBGene00013276,sre-42
WBGene00013277,sre-41
WBGene00013281,sre-27
WBGene00013282,sre-26
WBGene00013286,Y57A10C.8
WBGene00013285,dct-12
WBGene00013288,Y57A10C.10
WBGene00012283,W05H5.1
WBGene00005250,srh-27
WBGene00043058,sre-34
WBGene00012286,sre-35
WBGene00005040,sra-14
WBGene00044084,sre-46
WBGene00012725,sre-47
WBGene00005264,srh-41
WBGene00005265,srh-42
WBGene00013222,dmsr-6
WBGene00007997,sre-13
WBGene00013187,npr-34
WBGene00012181,srt-11
WBGene00005143,srd-66
WBGene00021439,ckr-2
WBGene00005146,srd-69
WBGene00008286,C54C6.4
WBGene00012084,npr-15
WBGene00005170,srg-13
WBGene00005168,srg-10
WBGene00005169,srg-11
WBGene00021310,Y32H12A.1
WBGene00005166,srg-8
WBGene00005167,srg-9
WBGene00005159,srg-1
WBGene00005160,srg-2
WBGene00005162,srg-4
WBGene00005163,srg-5
WBGene00005164,srg-6
WBGene00005165,srg-7
WBGene00005161,srg-3
WBGene00001518,gar-2
WBGene00005076,srb-11
WBGene00015637,srxa-5
WBGene00005263,srh-40
WBGene00015735,pdfr-1
WBGene00005712,srv-1
WBGene00005073,srb-8
WBGene00005072,srb-7
WBGene00194726,R13A5.15
WBGene00015559,npr-17
WBGene00016242,C30A5.10
WBGene00014035,seb-2
WBGene00010315,F59B2.13
WBGene00013848,npr-29
WBGene00005936,srx-45
WBGene00006576,tkr-1
WBGene00011219,srxa-10
WBGene00011816,srt-55
WBGene00012962,dmsr-5
